"Date Time, GMT+11:00","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C","H08 Temp., ¡C"
11/26/08 22:00:00,17.52,17.52,13.32,9.82
11/26/08 23:00:00,21.71,29.50,13.32,10.21
11/27/08 00:00:00,11.38,12.93,13.32,10.60
11/27/08 01:00:00,12.93,12.16,12.55,10.60
11/27/08 02:00:00,12.16,11.38,12.16,10.60
11/27/08 03:00:00,17.90,13.70,11.77,10.60
11/27/08 04:00:00,7.83,10.21,11.77,10.60
11/27/08 05:00:00,7.03,9.03,11.38,10.60
11/27/08 06:00:00,6.62,8.63,10.60,10.21
11/27/08 07:00:00,6.62,8.23,10.21,10.21
11/27/08 08:00:00,7.03,7.83,10.21,9.82
11/27/08 09:00:00,6.22,7.83,9.82,9.82
11/27/08 10:00:00,5.40,6.62,9.42,9.82
11/27/08 11:00:00,6.62,6.62,9.42,9.42
11/27/08 12:00:00,7.03,6.62,9.03,9.42
11/27/08 13:00:00,7.43,6.62,8.63,9.03
11/27/08 14:00:00,6.62,6.62,8.63,9.03
11/27/08 15:00:00,10.60,8.63,8.63,9.03
11/27/08 16:00:00,10.60,9.82,8.63,8.63
11/27/08 17:00:00,15.62,11.77,9.03,8.63
11/27/08 18:00:00,21.33,15.62,9.42,8.63
11/27/08 19:00:00,23.24,19.04,10.21,9.03
11/27/08 20:00:00,22.09,21.71,10.99,9.42
11/27/08 21:00:00,21.71,21.71,12.55,9.82
11/27/08 22:00:00,22.09,31.12,13.32,10.21
11/27/08 23:00:00,19.81,31.12,14.09,10.99
11/28/08 00:00:00,22.09,33.17,14.47,11.38
11/28/08 01:00:00,19.04,24.01,14.47,11.77
11/28/08 02:00:00,12.55,15.23,14.09,11.77
11/28/08 03:00:00,10.99,12.55,13.70,11.77
11/28/08 04:00:00,9.82,10.99,13.32,11.77
11/28/08 05:00:00,9.42,10.60,12.55,11.77
11/28/08 06:00:00,9.42,9.82,12.16,11.38
11/28/08 07:00:00,9.82,9.42,11.77,11.38
11/28/08 08:00:00,10.60,9.42,11.38,10.99
11/28/08 09:00:00,8.63,9.42,10.99,10.99
11/28/08 10:00:00,7.43,8.63,10.60,10.60
11/28/08 11:00:00,8.23,8.63,10.21,10.60
11/28/08 12:00:00,7.43,8.63,10.21,10.21
11/28/08 13:00:00,9.03,8.23,10.21,10.21
11/28/08 14:00:00,8.63,8.23,9.82,10.21
11/28/08 15:00:00,11.77,9.82,9.82,9.82
11/28/08 16:00:00,15.23,11.38,9.82,9.82
11/28/08 17:00:00,12.93,12.55,10.21,9.82
11/28/08 18:00:00,14.09,12.93,10.21,9.82
11/28/08 19:00:00,16.76,14.85,10.60,9.82
11/28/08 20:00:00,19.81,17.14,11.38,10.21
11/28/08 21:00:00,18.66,15.62,12.16,10.21
11/28/08 22:00:00,15.23,14.85,12.55,10.60
11/28/08 23:00:00,10.99,12.16,12.55,10.99
11/29/08 00:00:00,9.82,10.99,12.16,10.99
11/29/08 01:00:00,10.21,11.38,11.77,10.99
11/29/08 02:00:00,13.32,12.55,11.77,10.99
11/29/08 03:00:00,12.16,12.16,11.77,10.99
11/29/08 04:00:00,7.83,10.21,11.77,10.99
11/29/08 05:00:00,6.62,9.03,11.38,10.99
11/29/08 06:00:00,7.83,9.03,10.99,10.99
11/29/08 07:00:00,7.43,9.03,10.60,10.60
11/29/08 08:00:00,7.03,9.03,10.60,10.60
11/29/08 09:00:00,5.81,8.23,10.21,10.21
11/29/08 10:00:00,6.22,8.23,9.82,10.21
11/29/08 11:00:00,6.22,8.23,9.82,10.21
11/29/08 12:00:00,6.22,8.23,9.82,9.82
11/29/08 13:00:00,6.22,7.83,9.42,9.82
11/29/08 14:00:00,5.81,7.83,9.42,9.82
11/29/08 15:00:00,7.83,8.63,9.42,9.82
11/29/08 16:00:00,9.42,9.42,9.42,9.42
11/29/08 17:00:00,10.99,10.60,9.42,9.42
11/29/08 18:00:00,19.81,14.09,10.21,9.42
11/29/08 19:00:00,17.14,14.09,10.99,9.82
11/29/08 20:00:00,24.79,17.90,11.38,9.82
11/29/08 21:00:00,22.09,17.90,12.16,10.21
11/29/08 22:00:00,16.38,14.85,12.93,10.60
11/29/08 23:00:00,10.60,12.93,12.93,10.99
11/30/08 00:00:00,7.83,10.60,12.55,10.99
11/30/08 01:00:00,14.47,15.62,12.16,10.99
11/30/08 02:00:00,10.99,12.16,12.16,10.99
11/30/08 03:00:00,6.22,9.82,12.16,10.99
11/30/08 04:00:00,4.15,8.23,11.77,10.99
11/30/08 05:00:00,3.74,7.83,10.99,10.99
11/30/08 06:00:00,3.74,7.43,10.60,10.60
11/30/08 07:00:00,3.31,7.03,10.21,10.60
11/30/08 08:00:00,3.74,7.03,9.82,10.21
11/30/08 09:00:00,3.74,7.03,9.42,10.21
11/30/08 10:00:00,2.89,6.22,9.42,9.82
11/30/08 11:00:00,-0.16,4.99,9.03,9.82
11/30/08 12:00:00,2.46,5.40,8.63,9.42
11/30/08 13:00:00,2.03,5.40,8.63,9.42
11/30/08 14:00:00,1.60,4.57,8.23,9.03
11/30/08 15:00:00,4.99,5.40,8.23,9.03
11/30/08 16:00:00,9.82,7.43,7.83,9.03
11/30/08 17:00:00,14.09,10.21,8.23,8.63
11/30/08 18:00:00,15.23,11.77,8.63,8.63
11/30/08 19:00:00,16.38,13.70,9.42,9.03
11/30/08 20:00:00,16.76,16.38,10.21,9.03
11/30/08 21:00:00,16.00,16.38,10.99,9.42
11/30/08 22:00:00,16.00,22.09,12.16,9.82
11/30/08 23:00:00,15.62,24.40,12.55,10.21
12/01/08 00:00:00,17.14,24.79,12.93,10.60
12/01/08 01:00:00,15.62,21.33,12.93,10.99
12/01/08 02:00:00,12.16,14.47,12.93,11.38
12/01/08 03:00:00,9.03,10.21,12.16,11.38
12/01/08 04:00:00,5.81,8.23,11.77,11.38
12/01/08 05:00:00,4.99,7.03,10.99,10.99
12/01/08 06:00:00,5.81,6.62,10.60,10.99
12/01/08 07:00:00,4.99,6.22,10.21,10.60
12/01/08 08:00:00,4.99,5.81,9.82,10.21
12/01/08 09:00:00,4.99,6.22,9.42,10.21
12/01/08 10:00:00,4.15,5.40,9.03,9.82
12/01/08 11:00:00,4.15,5.40,9.03,9.82
12/01/08 12:00:00,4.57,5.81,8.63,9.42
12/01/08 13:00:00,4.57,5.81,8.63,9.42
12/01/08 14:00:00,4.15,5.40,8.23,9.03
12/01/08 15:00:00,4.57,5.81,8.23,9.03
12/01/08 16:00:00,4.57,5.81,7.83,8.63
12/01/08 17:00:00,6.22,7.03,7.83,8.63
12/01/08 18:00:00,8.23,8.63,8.23,8.63
12/01/08 19:00:00,14.09,11.38,8.63,8.63
12/01/08 20:00:00,13.32,12.55,9.42,8.63
12/01/08 21:00:00,14.85,14.47,10.21,9.03
12/01/08 22:00:00,15.62,21.33,10.99,9.42
12/01/08 23:00:00,16.76,24.01,12.16,9.82
12/02/08 00:00:00,18.66,22.09,12.55,10.21
12/02/08 01:00:00,17.14,19.42,12.93,10.99
12/02/08 02:00:00,8.23,12.16,12.55,10.99
12/02/08 03:00:00,5.40,8.63,12.16,10.99
12/02/08 04:00:00,4.15,7.03,11.38,10.99
12/02/08 05:00:00,3.31,6.22,10.60,10.99
12/02/08 06:00:00,2.89,5.40,10.21,10.60
12/02/08 07:00:00,2.89,4.99,9.82,10.21
12/02/08 08:00:00,2.46,4.57,9.42,9.82
12/02/08 09:00:00,2.89,4.15,9.03,9.82
12/02/08 10:00:00,2.89,4.15,8.63,9.42
12/02/08 11:00:00,2.46,3.74,8.23,9.42
12/02/08 12:00:00,2.03,3.74,7.83,9.03
12/02/08 13:00:00,2.03,3.31,7.83,9.03
12/02/08 14:00:00,2.03,3.31,7.43,8.63
12/02/08 15:00:00,5.40,4.15,7.43,8.63
12/02/08 16:00:00,8.63,5.81,7.43,8.23
12/02/08 17:00:00,10.99,7.83,7.43,8.23
12/02/08 18:00:00,12.93,10.21,7.83,8.23
