"Plot Title: ITEX1U_12OTC"
"#","Date","Time, GMT+10:00","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)"
1,18/04/13,15:14:47,18.794,10.687,8.020,7.920
2,18/04/13,16:14:47,8.369,8.494,8.120,8.045
3,18/04/13,17:14:47,6.408,7.594,8.145,8.120
4,18/04/13,18:14:47,3.009,6.204,8.095,8.170
5,18/04/13,19:14:47,2.637,5.539,7.970,8.170
6,18/04/13,20:14:47,2.289,5.437,7.795,8.145
7,18/04/13,21:14:47,1.940,5.024,7.645,8.095
8,18/04/13,22:14:47,0.715,4.506,7.494,7.995
9,18/04/13,23:14:47,0.495,4.141,7.368,7.920
10,19/04/13,00:14:47,0.079,3.906,7.242,7.845
11,19/04/13,01:14:47,-0.507,3.591,7.116,7.745
12,19/04/13,02:14:47,-0.902,3.354,6.990,7.670
13,19/04/13,03:14:47,-0.902,3.142,6.889,7.594
14,19/04/13,04:14:47,-1.157,2.983,6.763,7.494
15,19/04/13,05:14:47,-1.157,2.823,6.661,7.419
16,19/04/13,06:14:47,-0.902,2.690,6.535,7.343
17,19/04/13,07:14:47,-0.563,2.744,6.433,7.242
18,19/04/13,08:14:47,0.246,2.903,6.331,7.167
19,19/04/13,09:14:47,0.632,3.063,6.230,7.091
20,19/04/13,10:14:47,1.805,3.459,6.153,6.990
21,19/04/13,11:14:47,2.717,3.827,6.051,6.914
22,19/04/13,12:14:47,2.450,3.854,5.975,6.839
23,19/04/13,13:14:47,2.797,4.115,5.898,6.788
24,19/04/13,14:14:47,2.477,3.906,5.821,6.712
25,19/04/13,15:14:47,2.155,3.827,5.745,6.636
26,19/04/13,16:14:47,0.715,3.380,5.668,6.585
27,19/04/13,17:14:47,0.934,3.168,5.565,6.509
28,19/04/13,18:14:47,0.797,3.063,5.488,6.433
29,19/04/13,19:14:47,0.577,2.983,5.411,6.357
30,19/04/13,20:14:47,0.825,3.089,5.308,6.281
31,19/04/13,21:14:47,1.153,3.248,5.257,6.204
32,19/04/13,22:14:47,1.180,3.248,5.205,6.153
33,19/04/13,23:14:47,1.371,3.301,5.128,6.077
34,20/04/13,00:14:47,1.371,3.274,5.076,6.026
35,20/04/13,01:14:47,1.480,3.301,5.024,5.975
36,20/04/13,02:14:47,1.507,3.354,4.973,5.924
37,20/04/13,03:14:47,1.453,3.354,4.947,5.898
38,20/04/13,04:14:47,1.480,3.380,4.921,5.847
39,20/04/13,05:14:47,1.588,3.459,4.895,5.796
40,20/04/13,06:14:47,1.588,3.485,4.895,5.770
41,20/04/13,07:14:47,1.724,3.538,4.869,5.745
42,20/04/13,08:14:47,2.182,3.801,4.869,5.719
43,20/04/13,09:14:47,2.823,4.037,4.869,5.693
44,20/04/13,10:14:47,3.221,4.194,4.869,5.693
45,20/04/13,11:14:47,4.089,4.610,4.844,5.668
46,20/04/13,12:14:47,4.921,4.973,4.792,5.642
47,20/04/13,13:14:47,5.539,5.437,4.714,5.565
48,20/04/13,14:14:47,6.712,6.026,4.688,5.539
49,20/04/13,15:14:47,8.045,5.949,4.688,5.514
50,20/04/13,16:14:47,4.921,5.539,4.714,5.514
51,20/04/13,17:14:47,3.985,5.128,4.766,5.514
52,20/04/13,18:14:47,2.983,4.688,4.818,5.514
53,20/04/13,19:14:47,2.690,4.532,4.844,5.539
54,20/04/13,20:14:47,2.396,4.376,4.869,5.539
55,20/04/13,21:14:47,2.262,4.298,4.895,5.565
56,20/04/13,22:14:47,2.101,4.141,4.947,5.565
57,20/04/13,23:14:47,2.289,4.089,4.973,5.591
58,21/04/13,00:14:47,2.637,4.011,4.973,5.616
59,21/04/13,01:14:47,1.289,3.116,4.999,5.616
60,21/04/13,02:14:47,0.577,2.610,4.999,5.616
61,21/04/13,03:14:47,0.550,2.877,4.973,5.616
62,21/04/13,04:14:47,0.715,2.956,4.947,5.591
63,21/04/13,05:14:47,0.632,2.930,4.921,5.565
64,21/04/13,06:14:47,0.135,2.690,4.895,5.565
65,21/04/13,07:14:47,0.439,2.450,4.869,5.539
66,21/04/13,08:14:47,1.507,3.168,4.818,5.514
67,21/04/13,09:14:47,3.142,3.854,4.766,5.488
68,21/04/13,10:14:47,5.488,4.714,4.740,5.437
69,21/04/13,11:14:47,6.712,5.334,4.766,5.437
70,21/04/13,12:14:47,7.444,5.898,4.921,5.437
71,21/04/13,13:14:47,10.932,6.940,5.102,5.514
72,21/04/13,14:14:47,6.712,5.745,5.282,5.591
73,21/04/13,15:14:47,5.102,5.179,5.411,5.668
74,21/04/13,16:14:47,8.866,5.898,5.462,5.719
75,21/04/13,17:14:47,4.168,4.818,5.514,5.770
76,21/04/13,18:14:47,3.168,4.272,5.539,5.821
77,21/04/13,19:14:47,3.142,4.168,5.514,5.847
78,21/04/13,20:14:47,3.248,3.932,5.462,5.847
79,21/04/13,21:14:47,3.433,3.958,5.437,5.847
80,21/04/13,22:14:47,3.670,4.089,5.411,5.821
81,21/04/13,23:14:47,2.903,3.906,5.385,5.821
82,22/04/13,00:14:47,2.690,3.775,5.334,5.796
83,22/04/13,01:14:47,2.503,3.617,5.282,5.770
84,22/04/13,02:14:47,2.021,3.354,5.205,5.719
85,22/04/13,03:14:47,2.370,3.485,5.128,5.668
86,22/04/13,04:14:47,2.503,3.485,5.102,5.616
87,22/04/13,05:14:47,2.262,3.512,5.050,5.591
88,22/04/13,06:14:47,2.262,3.485,5.050,5.565
89,22/04/13,07:14:47,2.182,3.354,5.050,5.539
90,22/04/13,08:14:47,2.717,3.564,5.050,5.539
91,22/04/13,09:14:47,3.643,3.958,5.076,5.514
92,22/04/13,10:14:47,4.141,4.272,5.128,5.539
93,22/04/13,11:14:47,4.895,4.636,5.205,5.565
94,22/04/13,12:14:47,4.818,4.740,5.308,5.591
95,22/04/13,13:14:47,4.766,4.740,5.411,5.642
96,22/04/13,14:14:47,6.357,5.385,5.462,5.693
97,22/04/13,15:14:47,5.050,5.128,5.565,5.745
98,22/04/13,16:14:47,4.141,4.636,5.642,5.796
99,22/04/13,17:14:47,3.406,4.272,5.668,5.847
100,22/04/13,18:14:47,2.557,3.932,5.693,5.872
101,22/04/13,19:14:47,2.262,3.591,5.642,5.898
102,22/04/13,20:14:47,2.717,3.643,5.591,5.898
103,22/04/13,21:14:47,2.155,3.459,5.539,5.872
104,22/04/13,22:14:47,2.610,3.459,5.488,5.847
105,22/04/13,23:14:47,3.142,3.749,5.437,5.847
106,23/04/13,00:14:47,3.142,3.775,5.411,5.821
107,23/04/13,01:14:47,3.564,3.985,5.411,5.821
108,23/04/13,02:14:47,3.564,4.063,5.411,5.796
109,23/04/13,03:14:47,3.722,4.141,5.411,5.770
110,23/04/13,04:14:47,3.880,4.220,5.411,5.770
111,23/04/13,05:14:47,4.115,4.298,5.385,5.770
112,23/04/13,06:14:47,4.220,4.480,5.385,5.745
113,23/04/13,07:14:47,4.376,4.558,5.385,5.745
114,23/04/13,08:14:47,4.895,4.818,5.411,5.745
115,23/04/13,09:14:47,6.940,5.591,5.462,5.770
116,23/04/13,10:14:47,7.820,6.153,5.565,5.796
117,23/04/13,11:14:47,9.509,6.990,5.719,5.847
118,23/04/13,12:14:47,9.583,7.544,5.924,5.924
119,23/04/13,13:14:47,9.632,7.594,6.179,6.051
120,23/04/13,14:14:47,11.710,8.444,6.382,6.179
121,23/04/13,15:14:47,8.045,7.091,6.560,6.306
122,23/04/13,16:14:47,5.898,6.153,6.636,6.408
123,23/04/13,17:14:47,4.714,5.514,6.636,6.484
124,23/04/13,18:14:47,3.985,5.102,6.585,6.535
125,23/04/13,19:14:47,3.116,4.636,6.484,6.535
126,23/04/13,20:14:47,2.236,4.115,6.382,6.535
127,23/04/13,21:14:47,1.751,3.775,6.255,6.484
128,23/04/13,22:14:47,1.643,3.591,6.128,6.433
129,23/04/13,23:14:47,1.289,3.485,6.000,6.357
130,24/04/13,00:14:47,0.907,3.142,5.898,6.281
131,24/04/13,01:14:47,0.660,2.983,5.770,6.230
132,24/04/13,02:14:47,0.687,2.930,5.693,6.153
133,24/04/13,03:14:47,0.632,2.717,5.616,6.102
134,24/04/13,04:14:47,0.024,2.477,5.514,6.026
135,24/04/13,05:14:47,-0.199,2.262,5.437,5.975
136,24/04/13,06:14:47,-0.591,1.913,5.334,5.924
137,24/04/13,07:14:47,-0.648,1.778,5.257,5.847
138,24/04/13,08:14:47,0.079,2.021,5.154,5.770
139,24/04/13,09:14:47,1.778,2.690,5.102,5.719
140,24/04/13,10:14:47,4.688,3.932,5.076,5.668
141,24/04/13,11:14:47,5.924,4.584,5.102,5.642
142,24/04/13,12:14:47,7.695,5.514,5.205,5.642
143,24/04/13,13:14:47,6.382,5.205,5.385,5.668
144,24/04/13,14:14:47,8.195,5.745,5.565,5.745
145,24/04/13,15:14:47,9.706,6.179,5.693,5.821
146,24/04/13,16:14:47,8.270,6.102,5.796,5.898
147,24/04/13,17:14:47,4.766,4.869,5.821,5.949
148,24/04/13,18:14:47,2.530,3.827,5.796,6.000
149,24/04/13,19:14:47,1.344,2.930,5.693,6.000
150,24/04/13,20:14:47,1.126,2.850,5.539,5.949
151,24/04/13,21:14:47,0.687,2.770,5.385,5.898
152,24/04/13,22:14:47,1.967,3.406,5.231,5.821
153,24/04/13,23:14:47,2.690,3.696,5.102,5.745
154,25/04/13,00:14:47,3.116,3.880,5.024,5.668
155,25/04/13,01:14:47,2.903,3.827,4.999,5.616
156,25/04/13,02:14:47,1.886,3.380,5.024,5.591
157,25/04/13,03:14:47,1.859,3.248,5.024,5.565
158,25/04/13,04:14:47,1.697,3.116,4.999,5.539
159,25/04/13,05:14:47,2.343,3.327,4.999,5.514
160,25/04/13,06:14:47,2.503,3.406,4.999,5.514
161,25/04/13,07:14:47,2.903,3.512,4.999,5.514
162,25/04/13,08:14:47,3.459,3.749,5.024,5.488
163,25/04/13,09:14:47,4.714,4.350,5.050,5.488
164,25/04/13,10:14:47,6.128,4.947,5.102,5.488
165,25/04/13,11:14:47,6.255,5.179,5.205,5.514
166,25/04/13,12:14:47,7.066,5.539,5.334,5.565
167,25/04/13,13:14:47,10.785,6.611,5.488,5.642
168,25/04/13,14:14:47,10.638,6.687,5.642,5.719
169,25/04/13,15:14:47,11.297,6.990,5.719,5.796
170,25/04/13,16:14:47,8.045,6.128,5.796,5.872
171,25/04/13,17:14:47,3.880,4.636,5.821,5.924
172,25/04/13,18:14:47,3.142,4.089,5.770,5.949
173,25/04/13,19:14:47,2.877,3.827,5.693,5.949
174,25/04/13,20:14:47,3.036,3.775,5.591,5.924
175,25/04/13,21:14:47,3.749,4.011,5.539,5.898
176,25/04/13,22:14:47,4.324,4.376,5.488,5.847
177,25/04/13,23:14:47,4.376,4.454,5.462,5.821
178,26/04/13,00:14:47,4.402,4.506,5.488,5.821
179,26/04/13,01:14:47,4.376,4.454,5.488,5.821
180,26/04/13,02:14:47,4.298,4.402,5.488,5.821
181,26/04/13,03:14:47,4.246,4.428,5.488,5.821
182,26/04/13,04:14:47,4.220,4.428,5.488,5.796
183,26/04/13,05:14:47,4.428,4.558,5.488,5.796
184,26/04/13,06:14:47,4.220,4.584,5.488,5.821
185,26/04/13,07:14:47,3.564,4.272,5.514,5.821
186,26/04/13,08:14:47,4.558,4.636,5.488,5.821
187,26/04/13,09:14:47,5.616,5.128,5.514,5.821
188,26/04/13,10:14:47,7.318,5.949,5.565,5.821
189,26/04/13,11:14:47,8.643,6.585,5.668,5.847
190,26/04/13,12:14:47,9.903,7.444,5.847,5.924
191,26/04/13,13:14:47,12.703,8.195,6.026,6.000
192,26/04/13,14:14:47,13.377,8.394,6.230,6.102
193,26/04/13,15:14:47,12.509,8.394,6.382,6.204
194,26/04/13,16:14:47,9.287,7.469,6.484,6.306
195,26/04/13,17:14:47,6.687,6.408,6.535,6.382
196,26/04/13,18:14:47,5.642,5.898,6.509,6.458
197,26/04/13,19:14:47,4.792,5.437,6.458,6.458
198,26/04/13,20:14:47,4.454,5.154,6.357,6.458
199,26/04/13,21:14:47,4.350,5.076,6.255,6.433
200,26/04/13,22:14:47,3.958,4.895,6.179,6.408
201,26/04/13,23:14:47,2.930,4.115,6.102,6.357
202,27/04/13,00:14:47,3.142,4.376,5.975,6.306
203,27/04/13,01:14:47,3.354,4.428,5.847,6.255
204,27/04/13,02:14:47,3.063,4.246,5.745,6.179
205,27/04/13,03:14:47,2.744,4.141,5.668,6.128
206,27/04/13,04:14:47,2.396,3.932,5.565,6.051
207,27/04/13,05:14:47,1.670,3.643,5.462,6.026
208,27/04/13,06:14:47,1.534,3.485,5.360,5.924
209,27/04/13,07:14:47,1.643,3.512,5.231,5.872
210,27/04/13,08:14:47,3.854,4.220,5.102,5.796
211,27/04/13,09:14:47,6.408,5.334,5.024,5.719
212,27/04/13,10:14:47,9.361,6.560,4.999,5.642
213,27/04/13,11:14:47,11.662,7.920,5.076,5.616
214,27/04/13,12:14:47,12.364,8.742,5.308,5.668
215,27/04/13,13:14:47,13.305,9.238,5.642,5.770
216,27/04/13,14:14:47,11.710,8.220,5.975,5.898
217,27/04/13,15:14:47,12.316,8.270,6.153,6.051
218,27/04/13,16:14:47,9.336,7.619,6.255,6.179
219,27/04/13,17:14:47,6.712,6.458,6.306,6.255
220,27/04/13,18:14:47,6.408,6.204,6.306,6.306
221,27/04/13,19:14:47,6.408,6.204,6.281,6.331
222,27/04/13,20:14:47,6.357,6.179,6.255,6.357
223,27/04/13,21:14:47,6.179,6.026,6.255,6.382
224,27/04/13,22:14:47,6.026,5.975,6.255,6.382
225,27/04/13,23:14:47,5.847,5.796,6.230,6.382
226,28/04/13,00:14:47,5.616,5.693,6.204,6.382
227,28/04/13,01:14:47,5.411,5.616,6.179,6.382
228,28/04/13,02:14:47,5.462,5.565,6.179,6.382
229,28/04/13,03:14:47,5.745,5.437,6.128,6.357
230,28/04/13,04:14:47,5.898,5.154,6.128,6.357
231,28/04/13,05:14:47,5.642,4.999,6.077,6.357
232,28/04/13,06:14:47,5.719,4.792,6.026,6.331
233,28/04/13,07:14:47,5.719,4.766,5.975,6.306
234,28/04/13,08:14:47,6.788,5.128,5.924,6.281
235,28/04/13,09:14:47,7.494,5.565,5.898,6.230
236,28/04/13,10:14:47,9.188,6.331,5.898,6.230
237,28/04/13,11:14:47,10.736,7.192,5.949,6.204
238,28/04/13,12:14:47,11.127,7.770,6.051,6.230
239,28/04/13,13:14:47,8.020,6.839,6.204,6.281
240,28/04/13,14:14:47,8.990,6.661,6.306,6.357
241,28/04/13,15:14:47,9.262,6.687,6.357,6.408
242,28/04/13,16:14:47,7.293,6.153,6.357,6.458
243,28/04/13,17:14:47,6.712,5.872,6.331,6.458
244,28/04/13,18:14:47,6.230,5.745,6.281,6.458
245,28/04/13,19:14:47,6.204,5.719,6.255,6.458
246,28/04/13,20:14:47,6.940,6.102,6.204,6.433
247,28/04/13,21:14:47,6.965,6.204,6.204,6.433
248,28/04/13,22:14:47,7.066,6.306,6.230,6.433
249,28/04/13,23:14:47,6.839,6.281,6.255,6.433
250,29/04/13,00:14:47,6.204,5.975,6.255,6.458
251,29/04/13,01:14:47,5.334,5.642,6.255,6.458
252,29/04/13,02:14:47,5.616,5.693,6.255,6.458
253,29/04/13,03:14:47,5.076,5.488,6.230,6.458
254,29/04/13,04:14:47,4.376,5.128,6.204,6.458
255,29/04/13,05:14:47,4.921,5.257,6.179,6.433
256,29/04/13,06:14:47,4.895,5.231,6.128,6.408
257,29/04/13,07:14:47,5.462,5.411,6.102,6.382
258,29/04/13,08:14:47,6.331,5.821,6.102,6.382
259,29/04/13,09:14:47,6.433,5.949,6.128,6.357
260,29/04/13,10:14:47,6.433,6.051,6.179,6.382
261,29/04/13,11:14:47,7.695,6.535,6.230,6.382
262,29/04/13,12:14:47,8.369,7.142,6.281,6.433
263,29/04/13,13:14:47,6.611,6.357,6.433,6.484
264,29/04/13,14:14:47,7.268,6.611,6.509,6.535
265,29/04/13,15:14:47,6.560,6.357,6.560,6.585
266,29/04/13,16:14:47,5.745,6.000,6.585,6.611
267,29/04/13,17:14:47,5.591,5.821,6.611,6.636
268,29/04/13,18:14:47,4.220,5.154,6.585,6.661
269,29/04/13,19:14:47,3.089,4.610,6.484,6.661
270,29/04/13,20:14:47,4.246,5.102,6.331,6.611
271,29/04/13,21:14:47,4.610,5.308,6.230,6.560
272,29/04/13,22:14:47,4.714,5.360,6.179,6.509
273,29/04/13,23:14:47,4.662,5.360,6.128,6.484
274,30/04/13,00:14:47,4.506,5.308,6.128,6.458
275,30/04/13,01:14:47,4.141,5.050,6.102,6.433
276,30/04/13,02:14:47,3.880,4.921,6.051,6.408
277,30/04/13,03:14:47,2.182,3.985,6.000,6.357
278,30/04/13,04:14:47,1.859,3.485,5.898,6.331
279,30/04/13,05:14:47,0.989,2.983,5.745,6.281
280,30/04/13,06:14:47,0.550,2.690,5.591,6.179
281,30/04/13,07:14:47,0.218,2.770,5.411,6.077
282,30/04/13,08:14:47,1.994,3.591,5.231,5.975
283,30/04/13,09:14:47,4.506,4.480,5.128,5.872
284,30/04/13,10:14:47,6.940,5.514,5.102,5.796
285,30/04/13,11:14:47,8.990,6.661,5.154,5.770
286,30/04/13,12:14:47,9.460,6.990,5.334,5.770
287,30/04/13,13:14:47,10.590,7.594,5.591,5.847
288,30/04/13,14:14:47,16.725,9.015,5.821,5.949
289,30/04/13,15:14:47,9.361,7.469,6.051,6.051
290,30/04/13,16:14:47,7.444,6.636,6.179,6.153
291,30/04/13,17:14:47,5.770,5.949,6.255,6.255
292,30/04/13,18:14:47,4.895,5.488,6.230,6.306
293,30/04/13,19:14:47,4.350,5.154,6.204,6.331
294,30/04/13,20:14:47,4.272,5.076,6.128,6.331
295,30/04/13,21:14:47,3.696,4.818,6.051,6.331
296,30/04/13,22:14:47,3.696,4.714,6.026,6.306
297,30/04/13,23:14:47,4.011,4.869,5.949,6.281
298,01/05/13,00:14:47,3.116,4.428,5.924,6.255
299,01/05/13,01:14:47,2.557,4.089,5.847,6.204
300,01/05/13,02:14:47,1.994,3.670,5.745,6.179
301,01/05/13,03:14:47,0.934,3.248,5.616,6.128
302,01/05/13,04:14:47,0.522,3.089,5.488,6.051
303,01/05/13,05:14:47,0.825,3.116,5.334,5.975
304,01/05/13,06:14:47,1.153,3.142,5.205,5.898
305,01/05/13,07:14:47,1.832,3.327,5.128,5.821
306,01/05/13,08:14:47,3.538,4.011,5.076,5.745
307,01/05/13,09:14:47,6.153,4.973,5.102,5.693
308,01/05/13,10:14:47,5.668,5.076,5.205,5.693
309,01/05/13,11:14:47,6.357,5.308,5.334,5.719
310,01/05/13,12:14:47,5.975,5.231,5.462,5.770
311,01/05/13,13:14:47,6.357,5.411,5.565,5.821
312,01/05/13,14:14:47,6.204,5.334,5.642,5.872
313,01/05/13,15:14:47,7.041,5.770,5.693,5.924
314,01/05/13,16:14:47,6.661,5.488,5.745,5.949
315,01/05/13,17:14:47,3.406,4.376,5.745,5.975
316,01/05/13,18:14:47,1.778,3.591,5.693,6.000
317,01/05/13,19:14:47,1.615,3.168,5.616,5.975
318,01/05/13,20:14:47,1.425,3.248,5.462,5.949
319,01/05/13,21:14:47,1.126,2.930,5.360,5.872
320,01/05/13,22:14:47,0.163,2.744,5.282,5.821
321,01/05/13,23:14:47,0.301,2.717,5.205,5.770
322,02/05/13,00:14:47,-0.704,2.343,5.154,5.719
323,02/05/13,01:14:47,-1.299,1.967,5.102,5.668
324,02/05/13,02:14:47,-1.556,1.832,5.050,5.642
325,02/05/13,03:14:47,-1.213,1.697,4.973,5.591
326,02/05/13,04:14:47,-1.327,1.643,4.921,5.539
327,02/05/13,05:14:47,-1.641,1.615,4.869,5.488
328,02/05/13,06:14:47,-1.327,1.425,4.792,5.437
329,02/05/13,07:14:47,-1.556,1.317,4.740,5.411
330,02/05/13,08:14:47,-0.704,1.561,4.662,5.360
331,02/05/13,09:14:47,1.126,2.503,4.610,5.308
332,02/05/13,10:14:47,3.116,3.327,4.584,5.257
333,02/05/13,11:14:47,8.444,4.999,4.558,5.231
334,02/05/13,12:14:47,12.243,7.368,4.584,5.205
335,02/05/13,13:14:47,19.103,9.608,4.714,5.205
336,02/05/13,14:14:47,22.178,10.369,4.869,5.257
337,02/05/13,15:14:47,18.889,8.841,4.999,5.308
338,02/05/13,16:14:47,14.385,7.519,5.050,5.385
339,02/05/13,17:14:47,4.454,4.636,5.076,5.411
340,02/05/13,18:14:47,2.289,3.485,4.999,5.437
341,02/05/13,19:14:47,-0.088,2.155,4.895,5.437
342,02/05/13,20:14:47,0.079,1.913,4.740,5.385
343,02/05/13,21:14:47,0.329,1.886,4.584,5.308
344,02/05/13,22:14:47,0.687,2.557,4.428,5.205
345,02/05/13,23:14:47,1.044,2.690,4.324,5.128
346,03/05/13,00:14:47,1.480,2.903,4.220,5.050
347,03/05/13,01:14:47,1.235,2.690,4.141,4.973
348,03/05/13,02:14:47,1.180,2.690,4.089,4.921
349,03/05/13,03:14:47,0.660,2.503,4.063,4.869
350,03/05/13,04:14:47,0.770,2.450,4.037,4.818
351,03/05/13,05:14:47,0.467,2.316,4.011,4.792
352,03/05/13,06:14:47,0.852,2.236,3.958,4.740
353,03/05/13,07:14:47,0.962,2.128,3.958,4.714
354,03/05/13,08:14:47,2.236,2.503,3.932,4.688
355,03/05/13,09:14:47,3.354,2.983,3.932,4.662
356,03/05/13,10:14:47,4.246,3.485,3.985,4.662
357,03/05/13,11:14:47,6.864,4.610,4.037,4.662
358,03/05/13,12:14:47,9.089,6.077,4.168,4.688
359,03/05/13,13:14:47,10.638,6.990,4.376,4.740
360,03/05/13,14:14:47,6.458,5.050,4.636,4.844
361,03/05/13,15:14:47,6.128,4.740,4.766,4.947
362,03/05/13,16:14:47,4.298,4.115,4.818,5.024
363,03/05/13,17:14:47,3.722,3.880,4.792,5.076
364,03/05/13,18:14:47,2.983,3.538,4.766,5.076
365,03/05/13,19:14:47,2.850,3.459,4.714,5.102
366,03/05/13,20:14:47,2.797,3.406,4.662,5.076
367,03/05/13,21:14:47,2.903,3.327,4.610,5.076
368,03/05/13,22:14:47,2.903,3.327,4.584,5.050
369,03/05/13,23:14:47,3.564,3.274,4.558,5.024
370,04/05/13,00:14:47,3.775,3.380,4.532,5.024
371,04/05/13,01:14:47,1.317,2.797,4.506,4.999
372,04/05/13,02:14:47,0.660,1.832,4.376,4.973
373,04/05/13,03:14:47,2.047,2.450,4.089,4.869
374,04/05/13,04:14:47,3.221,3.248,4.089,4.766
375,04/05/13,05:14:47,3.248,3.459,4.168,4.740
376,04/05/13,06:14:47,1.940,3.063,4.246,4.740
377,04/05/13,07:14:47,1.044,2.584,4.298,4.740
378,04/05/13,08:14:47,1.126,2.717,4.298,4.766
379,04/05/13,09:14:47,3.142,3.354,4.272,4.766
380,04/05/13,10:14:47,3.958,3.722,4.272,4.740
381,04/05/13,11:14:47,8.841,5.205,4.246,4.740
382,04/05/13,12:14:47,11.832,6.864,4.376,4.740
383,04/05/13,13:14:47,16.987,8.568,4.636,4.818
384,04/05/13,14:14:47,19.746,9.040,4.869,4.947
385,04/05/13,15:14:47,17.463,8.195,4.999,5.050
386,04/05/13,16:14:47,13.112,6.737,5.024,5.128
387,04/05/13,17:14:47,5.154,4.506,4.999,5.205
388,04/05/13,18:14:47,2.477,3.248,4.895,5.205
389,04/05/13,19:14:47,1.153,2.850,4.792,5.179
390,04/05/13,20:14:47,-0.032,2.262,4.636,5.154
391,04/05/13,21:14:47,0.852,2.637,4.506,5.076
392,04/05/13,22:14:47,0.687,2.690,4.402,5.024
393,04/05/13,23:14:47,0.797,2.584,4.324,4.947
394,05/05/13,00:14:47,1.044,2.423,4.246,4.895
395,05/05/13,01:14:47,0.467,2.074,4.194,4.844
396,05/05/13,02:14:47,-0.732,1.534,4.141,4.792
397,05/05/13,03:14:47,-1.498,1.180,4.063,4.740
398,05/05/13,04:14:47,-1.785,0.907,3.985,4.688
399,05/05/13,05:14:47,-2.305,0.632,3.854,4.636
400,05/05/13,06:14:47,-3.390,0.190,3.749,4.558
401,05/05/13,07:14:47,-4.046,-0.171,3.643,4.480
402,05/05/13,08:14:47,-1.842,0.051,3.512,4.402
403,05/05/13,09:14:47,-0.116,0.356,3.406,4.298
404,05/05/13,10:14:47,0.907,0.632,3.301,4.220
405,05/05/13,11:14:47,6.484,2.209,3.221,4.141
406,05/05/13,12:14:47,12.050,5.411,3.168,4.089
407,05/05/13,13:14:47,17.748,7.970,3.116,4.011
408,05/05/13,14:14:47,21.151,8.990,3.089,3.985
409,05/05/13,15:14:47,17.748,7.895,3.089,3.958
410,05/05/13,16:14:47,12.122,6.306,3.142,3.932
411,05/05/13,17:14:47,4.298,3.932,3.195,3.958
412,05/05/13,18:14:47,4.063,3.801,3.195,3.958
413,05/05/13,19:14:47,3.221,3.564,3.221,3.985
414,05/05/13,20:14:47,2.155,3.036,3.274,3.985
415,05/05/13,21:14:47,1.859,2.850,3.301,4.011
416,05/05/13,22:14:47,1.643,2.823,3.327,4.011
417,05/05/13,23:14:47,0.301,2.128,3.327,4.037
418,06/05/13,00:14:47,-1.242,1.344,3.327,4.037
419,06/05/13,01:14:47,-1.756,0.742,3.327,4.037
420,06/05/13,02:14:47,-2.537,0.384,3.274,4.011
421,06/05/13,03:14:47,-2.102,0.246,3.221,3.985
422,06/05/13,04:14:47,-2.683,0.107,3.142,3.958
423,06/05/13,05:14:47,-3.006,0.051,3.063,3.906
424,06/05/13,06:14:47,-4.287,-0.199,2.983,3.854
425,06/05/13,07:14:47,-4.137,-0.451,2.903,3.801
426,06/05/13,08:14:47,-1.900,-0.255,2.823,3.749
427,06/05/13,09:14:47,-0.116,-0.116,2.744,3.670
428,06/05/13,10:14:47,0.550,0.190,2.690,3.617
429,06/05/13,11:14:47,6.051,1.099,2.637,3.564
430,06/05/13,12:14:47,12.316,4.895,2.584,3.512
431,06/05/13,13:14:47,18.818,7.569,2.557,3.485
432,06/05/13,14:14:47,21.461,8.841,2.530,3.433
433,06/05/13,15:14:47,18.557,7.695,2.530,3.433
434,06/05/13,16:14:47,12.340,6.077,2.557,3.406
435,06/05/13,17:14:47,5.205,3.801,2.584,3.406
436,06/05/13,18:14:47,1.453,2.503,2.610,3.433
437,06/05/13,19:14:47,0.550,1.913,2.610,3.433
438,06/05/13,20:14:47,0.135,1.480,2.637,3.433
439,06/05/13,21:14:47,0.550,1.805,2.637,3.459
440,06/05/13,22:14:47,0.135,1.480,2.637,3.459
441,06/05/13,23:14:47,0.301,1.805,2.637,3.433
442,07/05/13,00:14:47,0.246,1.886,2.637,3.433
443,07/05/13,01:14:47,0.246,1.886,2.610,3.433
444,07/05/13,02:14:47,0.079,1.859,2.610,3.406
445,07/05/13,03:14:47,0.356,1.940,2.584,3.406
446,07/05/13,04:14:47,0.522,1.967,2.584,3.406
447,07/05/13,05:14:47,0.550,2.021,2.584,3.380
448,07/05/13,06:14:47,0.742,2.128,2.584,3.380
449,07/05/13,07:14:47,1.044,2.209,2.584,3.380
450,07/05/13,08:14:47,2.450,2.690,2.584,3.354
451,07/05/13,09:14:47,4.220,3.380,2.584,3.354
452,07/05/13,10:14:47,5.591,3.985,2.584,3.354
453,07/05/13,11:14:47,8.817,5.231,2.610,3.354
454,07/05/13,12:14:47,10.443,6.281,2.690,3.380
455,07/05/13,13:14:47,14.864,7.745,2.877,3.433
456,07/05/13,14:14:47,10.932,6.940,3.195,3.564
457,07/05/13,15:14:47,8.444,6.026,3.538,3.722
458,07/05/13,16:14:47,6.763,5.360,3.801,3.880
459,07/05/13,17:14:47,5.024,4.636,3.958,4.037
